"year_sale";"month_sale";"IDATVEND";"ETAMANHO";"PORTO";"zona";"EESPECIE";"tipo_barco";"estrato_lei";"anonPRT";"QVENDA";"VVENDA";"DiaSemana";"PMED";"tipos_barcos3"
"2005";"Jun";2005-06-24;"1";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"bgb";810;2487,6;"Fri";3,07;"Traineira"
"2010";"Dec";2010-12-13;"2";"PENICHE";"Centro";"Cavala";"traineira";"16-40";"agh";240;284,4;"Mon";1,19;"Traineira"
"2008";"Jul";2008-07-02;"4";"AVEIRO";"Norte";"Cavala";"traineira";"16-40";"bci";1890;336;"Wed";0,18;"Traineira"
"2010";"Dec";2010-12-14;"2";"FIGUEIRA DA FOZ";"Norte";"Sardinha";"traineira";"16-40";"bfi";3937,5;1561;"Tue";0,4;"Traineira"
"2006";"Jan";2006-01-13;"2";"SINES";"Centro";"Sardinha";"traineira";"16-40";"abb";4152;1597,04;"Fri";0,38;"Traineira"
"2008";"Jan";2008-01-21;"SemTam";"SETUBAL";"Centro";"Outros";"traineira";"16-40";"bjb";12,6;30,45;"Mon";2,42;"Traineira"
"2005";"Nov";2005-11-15;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"afc";10125;5677,9;"Tue";0,56;"Traineira"
"2010";"May";2010-05-12;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"adf";4500;2020;"Wed";0,45;"Traineira"
"2009";"Mar";2009-03-17;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"ahb";1215;801,3;"Tue";0,66;"Traineira"
"2009";"Feb";2009-02-13;"2";"MATOSINHOS";"Norte";"Sardinha";"traineira";"16-40";"afc";1710;912;"Fri";0,53;"Traineira"
"2005";"Oct";2005-10-21;"3";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"aie";1638;1854,9;"Fri";1,13;"Traineira"
"2005";"Dec";2005-12-19;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"agc";517,5;292,56;"Mon";0,57;"Traineira"
"2005";"Mar";2005-03-15;"4";"NAZARE";"Centro";"Sardinha";"traineira";"16-40";"cab";1147,5;904,9;"Tue";0,79;"Traineira"
"2007";"Aug";2007-08-09;"2";"VRSA";"Sul";"Cavala";"traineira";"16-40";"bej";450;112,5;"Thu";0,25;"Traineira"
"2006";"Feb";2006-02-07;"6";"MATOSINHOS";"Norte";"Carapau-Branco";"traineira";"16-40";"bha";2808;1455,72;"Tue";0,52;"Traineira"
"2007";"Jun";2007-06-27;"3";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"afj";216;579,48;"Wed";2,68;"Traineira"
"2008";"Dec";2008-12-13;"2";"OLHAO";"Sul";"Sardinha";"traineira";"16-40";"abi";2500;1300;"Sat";0,52;"Traineira"
"2007";"Aug";2007-08-16;"4";"MATOSINHOS";"Norte";"Cavala";"traineira";"16-40";"aja";247,5;48,4;"Thu";0,2;"Traineira"
"2005";"Oct";2005-10-28;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"afe";11137,5;8275,51;"Fri";0,74;"Traineira"
"2009";"Jan";2009-01-22;"SemTam";"PENICHE";"Centro";"Outros";"traineira";"16-40";"ahb";313,7;2447,03;"Thu";7,8;"Traineira"
"2009";"Aug";2009-08-18;"2";"PENICHE";"Centro";"Sardinha";"traineira";"16-40";"bcb";7672,5;7340,65;"Tue";0,96;"Traineira"
"2006";"Aug";2006-08-12;"4";"SESIMBRA";"Centro";"Cavala";"traineira";"16-40";"aie";2480;437,6;"Sat";0,18;"Traineira"
"2005";"Feb";2005-02-03;"4";"SINES";"Centro";"Cavala";"traineira";"16-40";"aha";768;175,68;"Thu";0,23;"Traineira"
"2009";"Aug";2009-08-27;"4";"PORTIMAO";"Sul";"Carapau-Branco";"traineira";"16-40";"bif";95,3;165,14;"Thu";1,73;"Traineira"
"2010";"Aug";2010-08-27;"4";"OLHAO";"Sul";"Cavala";"traineira";"16-40";"adf";30000;5450;"Fri";0,18;"Traineira"
"2007";"Aug";2007-08-22;"4";"SESIMBRA";"Centro";"Carapau-Branco";"traineira";"16-40";"abg";3640,8;5516,78;"Wed";1,52;"Traineira"
"2007";"Jul";2007-07-13;"1";"PORTIMAO";"Sul";"Sardinha";"traineira";"16-40";"aeg";320;640;"Fri";2;"Traineira"
"2005";"Dec";2005-12-06;"3";"PENICHE";"Centro";"Outros";"traineira";"16-40";"bfg";8,8;20,01;"Tue";2,27;"Traineira"
"2006";"Sep";2006-09-29;"SemTam";"OLHAO";"Sul";"Outros";"traineira";"16-40";"afj";13;8,02;"Fri";0,62;"Traineira"
