"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"2005-03-23";18120;18120;15984;15984;0;0;975,8;975,8;915,5;915,5;"SINES"
"2005-03-23";0;0;600;600;0;0;2,1;2,1;637,6;637,6;"QUARTEIRA"
"2005-03-24";121;121;216,2;216,2;0;0;1964,7;1964,7;474,4;474,4;"SETUBAL"
"2005-03-24";10752;10752;9000;9000;0;0;1056,8;1056,8;1068,8;1068,8;"SINES"
"2005-03-24";0;0;0;0;0;0;9,1;9,1;9,2;9,2;"LAGOS"
"2005-03-24";15000;15000;3450;3450;0;0;52,7;52,7;47,2;47,2;"OLHAO"
"2005-03-27";15000;15000;87,9;87,9;0;0;1;1;15;15;"SETUBAL"
"2005-03-27";0;0;0;0;0;0;6,9;6,9;184,1;184,1;"QUARTEIRA"
"2005-03-28";216,4;216,4;1368;1368;0;0;310,4;310,4;991;991;"SETUBAL"
"2005-03-28";15480;15480;24384;24384;0;0;1376;1376;3571,3;3571,3;"SINES"
"2005-03-29";28890;28890;11340;11340;0;0;4860;4860;0;0;"PENICHE"
"2005-03-29";860;860;1440;1440;0;0;144;144;112,4;112,4;"SESIMBRA"
"2005-03-29";265,1;265,1;477,7;477,7;0;0;1277,4;1277,4;639,4;639,4;"SETUBAL"
"2005-03-29";5112;5112;16728;16728;0;0;270,5;270,5;1916,3;1916,3;"SINES"
"2005-03-29";16038;16038;3500;3500;7000;7000;18;18;108,8;108,8;"OLHAO"
"2005-03-30";16155;16155;3600;3600;0;0;4320;4320;468;468;"PENICHE"
"2005-03-30";0;0;1562,5;1562,5;0;0;350,9;350,9;1265,4;1265,4;"SETUBAL"
"2005-03-30";1224;1224;12648;12648;0;0;208;208;0;0;"SINES"
"2005-03-30";10380;10380;6300;6300;13;13;39;39;97,5;97,5;"OLHAO"
"2005-03-31";5152,5;5152,5;11475;11475;0;0;216;216;900;900;"PENICHE"
"2005-04-01";35,4;35,4;0;0;0;0;40,2;40,2;22,9;22,9;"LAGOS"
